 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
110.921875,46.86876781,0.1821538389999999,0.092143517,2.306856187,18.20912483,9.189732489,93.54398436,0.0
63.609375,33.49469043,2.495788534,11.79733027,16.27675585,52.56201461,3.254799608,9.284980364,1.0
121.5703125,54.28378608,0.195832981,-0.176090715,1.4540133780000002,14.15863513,12.30267424,172.591159,0.0
31.7578125,33.53140927,5.142496671,28.03449466,29.35785953,,2.16305729,4.541288237,1.0
100.7890625,41.81350939,0.430839884,1.117147026,3.063545151,18.98210675,8.487104471,83.96900848,0.0
41.890625,47.21133245,3.003052883,8.580386053,71.99331104,73.06713335,1.093608625,,1.0
102.390625,47.82850784,0.42962661,0.002420229,0.7650501670000001,11.12181633,17.1497618,326.6077488,0.0
96.21875,39.02341795,,2.316461506,3.563545151,17.57083539,6.725584702000001,58.74409985,0.0
87.7734375,42.53293115,,2.03239405,5.764214047,30.85202449,5.826356351,34.41622786,1.0
75.734375,34.44594596,1.974610962,8.210833977,12.33277592,36.37485482,3.623148117,14.51918499,1.0
68.234375,34.12282144,2.350389833,9.654794399,13.42892977,46.06024264,3.573530607,11.96268075,1.0
91.4609375,45.06885398,,1.648438594,4.748327759,28.60209149,6.564422662,44.24768486,1.0
132.828125,42.71162557,,0.552047406,6.821906355,29.40168508,4.986869007,26.71982597,0.0
48.0,33.12523585,3.232482712,14.97328566,69.98076923,62.08698018,0.678813792,0.0966564759999999,1.0
48.546875,39.36266858,2.9889568630000003,11.16385845,5.714882942999999,27.96249541,6.044960199,38.35714242,1.0
100.1953125,37.15719534,0.312657897,1.493755352,0.428093645,8.526606796,24.803826500000003,687.3500921,0.0
96.4375,50.36906758,0.717062953,1.182106258,2.178929766,18.62263226,10.04340182,109.34606,0.0
105.140625,36.7161269,1.202375439,3.639246019,31.8361204,59.58570652,1.781491554,1.909746524,1.0
122.046875,51.85178085,,-0.368958764,1.6295986619999998,16.23646625,11.29383536,136.4751436,0.0
95.3671875,50.26832239,1.110711588,1.167954551,144.7065217,,-0.397906063,-0.953013285,1.0
16.5546875,47.36358843,4.062784725,15.06497082,112.58361200000002,58.80159542,0.404615957,-0.285589629,1.0
103.9765625,49.21611538,,-0.006203698,0.945652174,10.18086717,16.92572688,359.08410939999993,0.0
105.7109375,52.74883772,0.330683906,-1.75e-05,0.87458194,11.08779148,18.51402708,385.0692476,0.0
115.359375,51.9717072,0.194953018,-0.616708495,2.084448161,14.96055211,10.72927714,140.2192894,0.0
25.296875,39.15660851,4.450881677,19.67773429,88.72324415,57.10776788,1.168896762,0.945171619,1.0
48.078125,32.40023374,3.5966131160000003,17.31498052,64.76421405,72.62912333,1.105638115,0.280692664,1.0
106.28125,50.29474648,0.6692374289999999,0.242076246,95.48578595,99.11096767,0.2211251719999999,-1.7739564980000002,1.0
61.3984375,41.71917647,2.069210316,6.344919247999999,53.57107023,75.01623547,1.208300966,,1.0
37.5625,31.29615342,4.85183203,29.80988336,27.19565217,64.7975508,2.386364229,4.365153314,1.0
87.4375,35.86274834,0.752855077,2.549712659,1.949832776,13.20329181,10.37167159,143.27388380000002,0.0
92.734375,42.50247867,0.552980729,0.90578788,1.136287625,14.20639739,13.97979307,209.1061446,0.0
55.6640625,36.00939056,3.142723508,12.78200669,50.65802676,70.549925,1.29303812,0.620718311,1.0
24.109375,30.39717153,5.605411014,34.19729064,30.02173913,53.40027929,2.135822594,4.428893663999999,1.0
64.8671875,41.69951497,2.7097174180000003,9.160633871,13.59949833,43.40563863,3.637832862,13.0580627,1.0
136.3046875,54.60448107,-0.088268899,-0.347696242,2.642140468,18.31905171,8.462307371,82.08973273,0.0
22.7578125,26.87318194,6.550507191,47.66151616,36.72993311,55.21717361,1.881370944,3.452531543,1.0
92.1796875,40.86590755,0.528593061,1.043770353,2.192307692,,9.332829974,107.95014170000002,0.0
72.5546875,43.58268159,1.195781848,2.473270911,6.727424749,34.66421753,5.413840112000001,29.12908212,1.0
99.125,42.4630354,,1.207424981,2.3720735790000003,19.92891689,9.212676553,88.43037718,0.0
109.3515625,50.80870832,-0.010264136,-0.241168441,3.034280936,16.93301762,7.572431208999999,71.972257,0.0
49.078125,31.69202615,2.833534788,14.16353002,22.22826087,,2.685933484,6.424923932,1.0
131.90625,53.77040855,,-0.188834594,2.699832776,14.73072801,8.336997625,97.53171305,0.0
115.1875,46.22883806,0.407075299,-0.078408678,3.030100334,22.32522076,7.975766192000001,65.95195642,0.0
126.1015625,48.0526794,0.101541994,0.064282271,12.13294314,45.83037161,3.719750809,12.4929915,0.0
58.5703125,40.79343613,2.644697701,9.397979894,18.9632107,50.77822774,2.936072285,8.017277145,1.0
108.0859375,54.98068231,0.244124066,-0.370771794,25.80769231,62.1418418,2.172473983,3.125661762,0.0
141.5625,55.30805067,-0.277164344,-0.435247909,7.784280936,34.05403861,4.5739676110000005,20.6845041,0.0
95.3828125,51.40329529,0.8894955090000001,0.435109453,7.170568562000001,31.28802976,5.358360596,30.12281883,1.0
122.3984375,52.99754414,0.311513075,-0.210571752,2.7834448160000003,17.1365486,8.203993288,,0.0
116.7265625,48.7291165,0.071630709,0.014853564,2.296822742,15.4359619,10.02721576,122.2040334,0.0
126.828125,52.71668222,0.011701287,-0.488554603,1.600334448,12.90928472,11.41552965,164.6609982,0.0
95.8984375,56.00318627,0.937979466,0.4310990979999999,172.3988294,73.60595597,-1.145374229,0.266740316,1.0
24.3359375,36.94025526,4.578984354,21.07219852,122.5083612,65.61393188,-0.057971939,-0.245258513,1.0
58.125,38.23263495,2.302345294,7.674091626,129.2725753,78.3817151,-0.407509862,-0.8530609,1.0
19.1875,48.77479337,4.06184829,15.04996237,114.5919732,56.69817468,0.361700256,-0.104891167,1.0
61.7265625,50.89430144,2.167074934,4.613956303,7.137123746,32.5333314,5.202977927,27.79875759,1.0
