 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
87.4296875,62.66935600000001,,-0.113678614,1.334448161,14.10692033,13.49709956,199.5401832,0.0
122.2578125,51.27228877,0.2233096219999999,-0.179271177,6.639632107000001,,5.113846393999999,27.31654984,0.0
102.65625,39.31253726,0.5460559420000001,1.46064753,2.157190635,13.62930298,9.898550495,131.0589314,0.0
56.734375,49.19690736,2.276248056,4.848252368,24.4506689,55.1090443,2.364656521,4.773116366,1.0
144.3671875,42.95871403,0.127635374,0.622874332,2.9489966560000003,17.157588699999998,8.127778369,80.30558495,0.0
126.2265625,57.31140468,0.039956498,-0.617176245,3.1371237460000003,19.12753168,8.147171157,77.31170527,0.0
98.6171875,44.17775195,0.310364655,0.4789249889999999,3.31187291,23.16352858,8.045018503,67.99126599,0.0
126.3515625,47.957271,0.100248079,0.265195008,1.701505017,14.07227038,10.66418444,137.4563605,0.0
129.75,47.05664804,,-0.1015043819999999,1.56187291,14.88743779,11.22034009,139.592614,0.0
82.203125,44.42257298,0.5296208579999999,0.633961756,2.43812709,14.09257559,8.907698488,110.5752146,0.0
84.453125,40.02340319,0.6773497270000001,2.201713999,2.258361204,16.11629886,10.12614026,121.9015919,0.0
87.203125,37.50569944,0.6176733010000001,2.066137417,0.961538462,12.77651452,15.30996484,251.3433504,0.0
112.0546875,48.60415823,0.134038258,-0.129581078,44.35702341,77.83337270000001,1.205706332,-0.491311552,0.0
122.65625,51.11421608,0.08964345,-0.244208706,2.316053512,14.83162275,9.348372274,110.6686823,0.0
131.3515625,49.14465094,0.012186397,-0.074690499,3.29264214,22.62962614,8.201679677000001,72.70454695,0.0
132.515625,51.12316384,0.095649098,-0.290893308,3.505852843,19.32465455,7.022261329,57.73099907,0.0
82.2265625,37.47003279,0.817339716,2.478419494,4.815217391,27.13431479,6.026268592999999,37.43123663,0.0
125.0,45.84348372,0.166110134,0.267231587,1.014214047,10.05955337,16.62907679,360.5534179,0.0
138.703125,52.53516075,-0.189375282,-0.456275165,3.851170569,19.1598955,6.32552125,49.28256021,0.0
113.15625,39.63316901,0.3193999939999999,1.663129775,5.757525084,31.24273404,5.682964701,32.22468042,0.0
122.640625,51.19199986,0.052507059,-0.333959472,1.894648829,12.95085662,10.48643507,149.67345669999995,0.0
145.8515625,44.79224435,-0.122567256,0.217525923,5.22826087,28.10555065,6.000127441,37.37177524,0.0
